symbol,source,interval,period_start,period_end,exit_mode,keep_fixed_tp,confidence,cost_profile,trades,win_rate_net,profit_factor_net,total_net_pnl,final_balance,max_drawdown_pct,avg_trade_net,fees_paid,spread_slippage_cost_estimate,funding_paid,long_trades,short_trades,long_net_pnl,short_net_pnl,tp_count,sl_count,trailing_count,timeout_count,trailing_activated_count,verdict,report_json
BTCUSDT,bybit,5m,2026-01-01T00:00:00+00:00,2026-04-25T23:55:00+00:00,fixed,False,0.51,stress,594,28.28282828282828,0.45025272888074225,-120.28082925087217,879.7191707491278,12.038134258573711,-0.20249297853682183,47.574217162897874,64.87392808897368,0.0,352,242,-70.4476412090424,-49.833188041829764,118,362,0,114,0,FAIL,reports_json/btcusdt_slice_2026_ytd_fixed_conf051_stress.json
BTCUSDT,bybit,5m,2024-01-01T00:05:00+00:00,2026-04-25T23:55:00+00:00,fixed,False,0.6,zero_cost,1605,39.81308411214953,1.0252780165265136,10.503399399999907,1010.5033993999999,4.07771094019364,0.006544174080996827,0.0,0.0,0.0,1093,512,7.553308799999839,2.950090600000061,416,865,0,324,0,WEAK,reports_json/btcusdt_full_fixed_conf060_zero_cost.json
BTCUSDT,bybit,5m,2024-01-01T00:05:00+00:00,2024-12-31T23:55:00+00:00,fixed,False,0.6,zero_cost,810,41.11111111111111,1.150277430328153,26.851153600000035,1026.8511536,1.5172493423671682,0.03314957234567906,0.0,0.0,0.0,543,267,20.56374659999997,6.287407000000064,241,430,0,139,0,PASS_CANDIDATE,reports_json/btcusdt_slice_2024_fixed_conf060_zero_cost.json
BTCUSDT,bybit,5m,2025-01-01T00:00:00+00:00,2025-12-31T23:55:00+00:00,fixed,False,0.6,zero_cost,539,37.66233766233766,0.870936537062016,-22.517630000000075,977.48237,3.1172953627619133,-0.041776679035250605,0.0,0.0,0.0,363,176,-14.93735540000006,-7.580274600000019,107,297,0,135,0,FAIL,reports_json/btcusdt_slice_2025_fixed_conf060_zero_cost.json
BTCUSDT,bybit,5m,2026-01-01T00:00:00+00:00,2026-04-25T23:55:00+00:00,fixed,False,0.6,zero_cost,255,40.3921568627451,1.1038535046882798,6.448275799999937,1006.4482757999999,0.607766860812732,0.025287356078431127,0.0,0.0,0.0,187,68,1.9269175999999275,4.52135820000001,68,138,0,49,0,PASS_CANDIDATE,reports_json/btcusdt_slice_2026_ytd_fixed_conf060_zero_cost.json
BTCUSDT,bybit,5m,2024-01-01T00:05:00+00:00,2026-04-25T23:55:00+00:00,fixed,False,0.6,realistic_taker,1615,35.54179566563467,0.6345859259042518,-198.7230300682674,801.2769699317325,21.01402784249379,-0.12304831583174453,137.00481719697913,74.72990146030476,0.0,1101,514,-136.5652145553841,-62.15781551288328,397,900,0,318,0,FAIL,reports_json/btcusdt_full_fixed_conf060_realistic_taker.json
BTCUSDT,bybit,5m,2024-01-01T00:05:00+00:00,2024-12-31T23:55:00+00:00,fixed,False,0.6,realistic_taker,805,38.26086956521739,0.7321390728470663,-61.44143072087689,938.5585692791232,7.386433706257551,-0.0763247586594744,58.09115231759302,31.686085632542376,0.0,538,267,-41.772255898698624,-19.66917482217826,227,442,0,136,0,FAIL,reports_json/btcusdt_slice_2024_fixed_conf060_realistic_taker.json
BTCUSDT,bybit,5m,2025-01-01T00:00:00+00:00,2025-12-31T23:55:00+00:00,fixed,False,0.6,realistic_taker,551,31.941923774954628,0.5219061981371262,-110.66339236859847,889.3366076314015,11.066339236859834,-0.20084100248384476,58.145007473884974,31.71545674985209,0.0,373,178,-72.61045085792172,-38.052941510676746,104,311,0,136,0,FAIL,reports_json/btcusdt_slice_2025_fixed_conf060_realistic_taker.json
BTCUSDT,bybit,5m,2026-01-01T00:00:00+00:00,2026-04-25T23:55:00+00:00,fixed,False,0.6,realistic_taker,258,34.883720930232556,0.6828323859858939,-26.181089832856067,973.8189101671439,2.7003396501302066,-0.10147709237541111,20.66595805956513,11.272341277910309,0.0,190,68,-22.182507798763773,-3.9985820340922977,66,147,0,45,0,FAIL,reports_json/btcusdt_slice_2026_ytd_fixed_conf060_realistic_taker.json
BTCUSDT,bybit,5m,2024-01-01T00:05:00+00:00,2026-04-25T23:55:00+00:00,fixed,False,0.6,stress,1659,31.82640144665461,0.49556490708866546,-314.7609377034627,685.2390622965373,32.12241828455443,-0.18972931748249708,140.60448876509625,191.73340365761592,0.0,1137,522,-217.65586870448834,-97.10506899897435,378,970,0,311,0,FAIL,reports_json/btcusdt_full_fixed_conf060_stress.json
